id_staz,lat,lon,quota,dataset,nome
H07910,43.84899,11.40217,407.0,fiduto,S. Brigida all'Opaco
H07911,43.84424,11.26149,305.0,fiduto,Cercina
H07912,43.83975,11.31135,225.0,fiduto,Caldine
H07916,44.02159,11.07949,555.0,fiduto,Cantagallo
H07917,44.07114,11.09350,752.0,fiduto,Gavigno
H07918,43.94474,11.21374,421.0,fiduto,Le Croci di Calenzano
H07919,43.86084,11.15500,60.0,fiduto,Calenzano
H07920,43.77304,11.09295,32.0,fiduto,Ponte a Signa
H07923,43.95365,10.82305,385.0,fiduto,Montagnana
H07924,43.88453,11.00385,40.0,fiduto,La Ferruccia
H07925,43.95956,11.06978,518.0,fiduto,Fattoria Iavello
H07929,43.71859,11.03591,45.0,fiduto,Turbone
H07930,43.72402,10.94623,25.0,fiduto,Empoli
H07931,43.78578,10.95952,250.0,fiduto,Vinci
H07938,43.97230,10.75597,790.0,fiduto,Serra Pistoiese
H07939,43.89330,10.77205,95.0,fiduto,Montecatini Terme
H07940,43.82055,10.82545,20.0,fiduto,Castelmartini
H07941,43.84509,10.90625,442.0,fiduto,S. Baronto
H07948,43.74706,10.55448,890.0,fiduto,Monte Serra
H07952,43.84284,10.65397,72.0,fiduto,Montecarlo
H07953,43.77441,10.65710,22.0,fiduto,Orentano
H07975,43.96900,10.33616,671.0,fiduto,Vallelunga
H07979,43.88827,11.51985,148.0,fiduto,Dicomano
H08342,44.02852,10.27565,840.0,fiduto,Terrinca
H08343,43.99205,10.25179,345.0,fiduto,Gallena
H08345,43.95570,10.16360,0.0,fiduto,Forte dei Marmi
H08349,44.09447,10.17069,845.0,fiduto,Vergheto
H08350,44.05827,10.16813,105.0,fiduto,Canevara
H08409,44.08374,10.12967,409.0,fiduto,Vara
H12039,45.09917,11.48917,6.0,fiduve,Badia Polesine
H12048,45.10056,11.78583,6.0,fiduve,Boara Pisani
H12064,45.13694,11.64389,2.0,fiduve,Carmignano di brenta
H12072,45.03194,11.32694,9.0,fiduve,Castelnovo Bariano CMT
H12075,45.13361,12.08222,12.0,fiduve,Cavarzere
H12094,44.94528,11.42556,10.0,fiduve,Ficarolo
H12099,45.16250,12.08806,1.0,fiduve,Gesia-Cavarzere CMT
H12104,45.18806,11.31417,21.0,fiduve,Legnago
H12151,45.04306,12.36500,13.0,fiduve,Porto Levante
H12159,44.91833,12.36972,0.0,fiduve,Pradon CMT
H12171,45.19806,11.40833,20.0,fiduve,S.Salvaro
H12180,45.03500,11.82694,2.0,fiduve,Sant'Apollinare CMT
H12190,45.14833,11.56472,20.0,fiduve,Valli Mocenighe
H12948,45.14389,12.27611,-1.0,fiduve,Chioggia S.Anna CMT
H12958,45.14528,11.75723,9.0,fiduve,Stanghella 1
H11216,44.65319,10.47312,135.0,freati,RE7901
H11217,44.82403,10.75434,25.0,freati,RE1500
H11219,44.58855,10.86132,65.0,freati,MO7201
H11220,44.92700,09.89475,85.0,freati,PC2702
H11221,44.57249,10.79600,92.0,freati,MO8100
H11222,44.22483,12.02317,29.0,freati,FC2000
H11226,44.69613,10.60989,55.0,freati,RE5500
H11227,44.78126,10.32199,66.0,freati,PR3200
H11229,44.21172,12.11133,24.0,freati,FC1402
H11230,44.55841,11.37351,28.0,freati,BO2800
H11236,44.38229,12.19215,3.0,freati,RA3402
H11238,44.16666,12.44166,1.0,freati,FC1601
H11239,44.84458,10.15216,63.0,freati,PRB400
H11815,44.51758,11.30221,39.0,freati,BOF800
H11816,44.68331,11.28145,19.0,freati,BOF900
H11818,45.05161,09.65609,59.0,freati,PC5603
H11825,44.88130,11.07821,17.0,freati,MO8000
H11826,44.06283,12.55287,8.0,freati,RN0400
H11827,44.06789,12.50062,20.0,freati,RN0500
H11828,44.03229,12.46031,50.0,freati,RN0300
H12717,44.20072,12.06119,28.0,freati,FC8301
H12718,44.14694,12.22444,25.0,freati,FC9000
H03721,44.94309,12.11928,4.0,icirfe,Ariano ETGFE
H03722,44.92927,11.99997,1.0,icirfe,Avanzarola
H03723,44.84849,11.72018,8.0,icirfe,Baura
